parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
"natural[91,3]",0.0103773,8.7492e-05,0.0119638,0.00696312,0.000367634,0.00612633,0.0353394,19248.6,11451.3,5.99349,1.00007,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[91,4]",3.2398,0.0070069,0.903702,0.89145,1.80871,3.207,4.76878,16908.5,11791.2,5.26486,1.00024,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[92,1]",0.0635915,0.000684745,0.076795,0.0477984,0.00173002,0.0427684,0.189797,13130.9,9888.38,4.08861,1.00025,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[92,2]",0.427763,0.00409323,0.331449,0.23342,0.0985942,0.330522,1.08779,5244.12,9830.33,1.63288,1.00029,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[92,3]",0.174455,0.00338964,0.236604,0.0845439,0.00303028,0.0667141,0.763292,4438.47,9076.63,1.38202,1.00035,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[92,4]",0.249543,0.00364089,0.526764,0.522094,-0.613714,0.245159,1.11607,21009.2,12867.0,6.54169,1.00003,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[93,1]",0.21602,0.00143609,0.11325,0.115515,0.0209706,0.218516,0.401403,6113.49,5468.35,1.90357,1.00058,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[93,2]",1.19991,0.00684841,0.646637,0.593839,0.363608,1.09088,2.42207,7574.51,7941.37,2.35849,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[93,3]",0.342486,0.00210448,0.204434,0.195506,0.0693239,0.304371,0.74751,8468.27,7179.67,2.63679,1.00041,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[93,4]",1.0537,0.00524242,0.677575,0.669009,-0.0386865,1.04706,2.17923,16798.7,12551.0,5.23065,1.00005,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[94,1]",0.159065,0.00141444,0.148873,0.122836,0.0059298,0.120531,0.449688,9699.15,9950.12,3.02005,0.99996,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[94,2]",0.371783,0.00197917,0.223578,0.1904,0.10889,0.322466,0.798285,11457.7,11451.0,3.5676,1.00012,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[94,3]",0.162315,0.0015035,0.1643,0.113414,0.00720545,0.114653,0.492683,11796.6,10605.8,3.67314,1.00007,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[94,4]",1.90879,0.00391326,0.605678,0.60551,0.955761,1.88056,2.9352,24364.8,11436.3,7.58653,1.00017,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[95,1]",0.207927,0.00192396,0.158057,0.0953572,0.0545709,0.162979,0.540556,8442.93,7306.91,2.6289,1.00013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[95,2]",0.408388,0.00209478,0.220533,0.204339,0.122747,0.367566,0.825784,9268.36,9409.97,2.88591,1.00014,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[95,3]",0.0422546,0.000836395,0.0705999,0.0254851,0.00159251,0.0236102,0.130461,8157.51,9192.46,2.54003,1.00027,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[95,4]",1.40969,0.00286707,0.440027,0.439637,0.704548,1.39931,2.15207,23695.6,13494.2,7.37817,1.00008,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[96,1]",0.298655,0.00203733,0.157959,0.110385,0.135807,0.253324,0.639805,7446.22,7850.97,2.31855,1.00017,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[96,2]",0.841145,0.00308365,0.33566,0.313833,0.387328,0.793911,1.46065,10522.7,10983.5,3.2765,1.00051,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[96,3]",0.0290605,0.000349015,0.0311192,0.0202988,0.00110364,0.0180871,0.0934202,8194.76,11183.3,2.55162,1.0002,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[96,4]",1.13658,0.00336701,0.485059,0.482476,0.351878,1.12239,1.94542,21047.5,13769.4,6.55362,1.00025,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[97,1]",0.405367,0.00286003,0.252214,0.277555,0.0757636,0.355668,0.876899,7532.61,10353.5,2.34545,1.00026,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[97,2]",0.324839,0.0012806,0.145197,0.134887,0.12337,0.306356,0.592852,12373.5,10570.5,3.85278,1.00013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[97,3]",0.0606244,0.000686241,0.0756385,0.0424089,0.00154507,0.0351148,0.194638,10374.3,11501.0,3.23027,1.0004,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[97,4]",1.1402,0.00287026,0.432194,0.431022,0.448751,1.13063,1.8693,23061.3,13374.2,7.18067,0.999932,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[98,1]",0.287933,0.00286402,0.231555,0.179694,0.0366146,0.212532,0.79613,6516.76,8851.35,2.02914,1.00084,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[98,2]",0.287798,0.00140618,0.147079,0.134192,0.0956991,0.263199,0.564781,9740.01,9644.68,3.03277,1.00026,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[98,3]",0.0682162,0.00116088,0.10231,0.0422919,0.00213073,0.0370938,0.224716,8697.18,10952.7,2.70806,1.00049,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[98,4]",1.89983,0.00338024,0.503362,0.501132,1.10164,1.88483,2.7661,22448.7,13282.5,6.98992,1.00028,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
