parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[11,4]",0.0134938,0.000438982,0.0326457,0.00277472,2.80604e-05,0.00196571,0.0727131,5480.67,6352.34,3.98801,1.00004,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[12,1]",0.0688988,0.00103737,0.0723207,0.042221,0.00717205,0.0464692,0.202558,4777.86,5500.42,3.47661,1.00054,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[12,2]",0.464974,0.00276473,0.224834,0.225585,0.11776,0.45063,0.863363,5503.67,2713.94,4.00474,1.00042,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[12,3]",0.47057,0.0192055,0.824606,0.286386,0.0199203,0.310063,1.19112,5785.69,2807.59,4.20995,1.00022,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[12,4]",0.0630539,0.00875996,0.429583,0.00657381,6.35088e-05,0.0046328,0.173277,6224.25,4075.14,4.52907,1.00019,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[13,1]",0.0476282,0.000429418,0.0365283,0.0303641,0.00694558,0.0384861,0.11913,6718.41,5153.07,4.88865,0.999915,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[13,2]",0.575191,0.00308764,0.264169,0.257229,0.205267,0.543985,1.05236,6491.35,4640.44,4.72343,0.999828,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[13,3]",2.28428,0.0170372,1.11849,0.828742,1.07989,1.99823,4.47466,6855.64,3966.47,4.9885,0.999924,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[13,4]",0.184613,0.00320659,0.264939,0.12525,0.00270146,0.0969836,0.617109,9093.85,5994.71,6.61713,1.00026,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[14,1]",0.106046,0.00146408,0.0963814,0.0611689,0.015421,0.0781201,0.297048,4288.36,5443.1,3.12042,1.00082,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[14,2]",0.452835,0.00195082,0.179206,0.180729,0.172067,0.445519,0.757574,7435.4,4013.58,5.41037,1.0006,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[14,3]",0.166891,0.00570092,0.314195,0.109088,0.0058495,0.0984737,0.487326,7393.27,5483.36,5.37971,0.999901,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[14,4]",0.0374698,0.00331182,0.218442,0.00309827,2.26705e-05,0.00216048,0.167226,6497.4,6081.06,4.72783,1.0,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[15,1]",0.0968781,0.000940729,0.0770468,0.0654446,0.0110895,0.0772991,0.246736,5638.28,5299.45,4.10269,1.00155,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[15,2]",0.135606,0.000780448,0.0731156,0.0608471,0.0491434,0.119485,0.274579,7817.68,6209.64,5.68853,1.00018,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[15,3]",7.02253,0.0297215,2.50016,2.44208,3.44464,6.73053,11.6579,7939.25,5949.76,5.77699,1.00026,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
